SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch3,1-Preload,0.000,13.136,0,-0.286
Stretch3,1-Preload,0.200,13.136,0,0.113
Stretch3,1-Preload,0.400,13.185,0.049,0.013
Stretch3,1-Preload,0.600,13.241,0.105,-0.186
Stretch3,1-Preload,0.800,13.294,0.158,-0.186
Stretch3,1-Preload,1.000,13.353,0.217,-0.386
Stretch3,1-Preload,1.200,13.414,0.278,-0.186
Stretch3,1-Preload,1.400,13.479,0.343,-0.087
Stretch3,1-Preload,1.600,13.53,0.394,-0.286
Stretch3,1-Preload,1.800,13.585,0.449,-0.087
Stretch3,1-Preload,2.000,13.641,0.505,-0.087
Stretch3,1-Preload,2.200,13.691,0.555,-0.087
Stretch3,1-Preload,2.400,13.748,0.612,0.013
Stretch3,1-Preload,2.600,13.796,0.66,-0.286
Stretch3,1-Preload,2.800,13.863,0.727,-0.087
Stretch3,1-Preload,3.000,13.922,0.786,-0.186
Stretch3,1-Preload,3.200,13.974,0.838,-0.186
Stretch3,1-Preload,3.400,14.038,0.902,-0.087
Stretch3,1-Preload,3.600,14.091,0.955,-0.386
Stretch3,1-Preload,3.800,14.147,1.011,-0.286
Stretch3,1-Preload,4.000,14.211,1.075,0.113
Stretch3,1-Preload,4.200,14.263,1.127,-0.186
Stretch3,1-Preload,4.400,14.314,1.178,-0.087
Stretch3,1-Preload,4.600,14.379,1.243,-0.186
Stretch3,1-Preload,4.800,14.428,1.292,0.113
Stretch3,1-Preload,5.000,14.476,1.34,0.013
Stretch3,1-Preload,5.200,14.534,1.398,-0.286
Stretch3,1-Preload,5.400,14.586,1.45,-0.087
Stretch3,1-Preload,5.600,14.642,1.506,-0.087
Stretch3,1-Preload,5.800,14.69,1.554,0.013
Stretch3,1-Preload,6.000,14.733,1.597,-0.087
Stretch3,1-Preload,6.200,14.792,1.656,-0.087
Stretch3,1-Preload,6.400,14.839,1.703,-0.186
Stretch3,1-Preload,6.600,14.893,1.757,0.113
Stretch3,1-Preload,6.800,14.944,1.808,-0.186
Stretch3,1-Preload,7.000,14.997,1.861,-0.087
Stretch3,1-Preload,7.200,15.054,1.918,0.013
Stretch3,1-Preload,7.400,15.106,1.97,-0.186
Stretch3,1-Preload,7.600,15.16,2.024,-0.087
Stretch3,1-Preload,7.800,15.217,2.081,-0.186
Stretch3,1-Preload,8.000,15.268,2.132,-0.286
Stretch3,1-Preload,8.200,15.332,2.196,0.113
Stretch3,1-Preload,8.400,15.39,2.254,-0.386
Stretch3,1-Preload,8.600,15.443,2.307,-0.087
Stretch3,1-Preload,8.800,15.506,2.37,0.113
Stretch3,1-Preload,9.000,15.558,2.422,-0.386
Stretch3,1-Preload,9.200,15.613,2.477,-0.087
Stretch3,1-Preload,9.400,15.679,2.543,-0.186
Stretch3,1-Preload,9.600,15.73,2.594,-0.286
Stretch3,1-Preload,9.800,15.79,2.654,0.113
Stretch3,1-Preload,10.000,15.844,2.708,-0.286
Stretch3,1-Preload,10.200,15.897,2.761,-0.186
Stretch3,1-Preload,10.400,15.961,2.825,-0.087
Stretch3,1-Preload,10.600,16.009,2.873,-0.286
Stretch3,1-Preload,10.800,16.058,2.922,0.013
Stretch3,1-Preload,11.000,16.111,2.975,0.013
Stretch3,1-Preload,11.200,16.155,3.019,-0.087
Stretch3,1-Preload,11.400,16.208,3.072,0.212
Stretch3,1-Preload,11.600,16.245,3.109,0.013
Stretch3,1-Preload,11.800,16.284,3.148,0.312
Stretch3,1-Preload,12.000,16.318,3.182,0.411
Stretch3,1-Preload,12.200,16.357,3.221,0.411
Stretch3,1-Preload,12.400,16.393,3.257,0.411
Stretch3,1-Preload,12.600,16.43,3.294,0.411
Stretch3,1-Preload,12.800,16.469,3.333,0.411
Stretch3,1-Preload,13.000,16.503,3.367,0.710
Stretch3,1-Preload,13.200,16.53,3.394,0.511
Stretch3,1-Preload,13.400,16.555,3.419,0.611
Stretch3,1-Preload,13.600,16.585,3.449,0.810
Stretch3,1-Preload,13.800,16.606,3.47,0.611
Stretch3,1-Preload,14.000,16.627,3.491,0.910
Stretch3,1-Preload,14.200,16.647,3.511,0.710
Stretch3,1-Preload,14.400,16.654,3.518,0.810
Stretch3,1-Preload,14.600,16.656,3.52,0.910
Stretch3,1-Stretch,14.680,16.656,0,0.710
Stretch3,1-Stretch,14.880,16.693,0.037,1.208
Stretch3,1-Stretch,15.080,16.733,0.077,1.208
Stretch3,1-Stretch,15.280,16.773,0.117,1.507
Stretch3,1-Stretch,15.480,16.813,0.157,1.806
Stretch3,1-Stretch,15.680,16.853,0.197,1.906
Stretch3,1-Stretch,15.880,16.893,0.237,2.005
Stretch3,1-Stretch,16.080,16.933,0.277,2.703
Stretch3,1-Stretch,16.280,16.973,0.317,2.603
Stretch3,1-Stretch,16.480,17.013,0.357,2.802
Stretch3,1-Stretch,16.680,17.053,0.397,3.500
Stretch3,1-Stretch,16.880,17.093,0.437,3.599
Stretch3,1-Stretch,17.080,17.133,0.477,3.699
Stretch3,1-Stretch,17.280,17.174,0.518,3.998
Stretch3,1-Stretch,17.480,17.213,0.557,4.496
Stretch3,1-Stretch,17.680,17.253,0.597,5.194
Stretch3,1-Stretch,17.880,17.294,0.638,5.393
Stretch3,1-Stretch,18.080,17.334,0.678,5.692
Stretch3,1-Stretch,18.280,17.374,0.718,6.190
Stretch3,1-Stretch,18.480,17.414,0.758,6.588
Stretch3,1-Stretch,18.680,17.454,0.798,7.385
Stretch3,1-Stretch,18.880,17.494,0.838,6.987
Stretch3,1-Stretch,19.080,17.534,0.878,7.883
Stretch3,1-Stretch,19.280,17.574,0.918,8.282
Stretch3,1-Stretch,19.480,17.614,0.958,8.979
Stretch3,1-Stretch,19.680,17.654,0.998,9.179
Stretch3,1-Stretch,19.880,17.694,1.038,9.876
Stretch3,1-Stretch,20.080,17.734,1.078,10.573
Stretch3,1-Stretch,20.280,17.774,1.118,10.872
Stretch3,1-Stretch,20.480,17.814,1.158,11.271
Stretch3,1-Stretch,20.680,17.854,1.198,11.769
Stretch3,1-Stretch,20.880,17.894,1.238,12.267
Stretch3,1-Stretch,21.080,17.935,1.279,12.765
Stretch3,1-Stretch,21.280,17.974,1.318,13.263
Stretch3,1-Stretch,21.480,18.014,1.358,13.861
Stretch3,1-Stretch,21.680,18.055,1.399,14.459
Stretch3,1-Stretch,21.880,18.095,1.439,14.758
Stretch3,1-Stretch,22.080,18.134,1.478,15.555
Stretch3,1-Stretch,22.280,18.175,1.519,16.053
Stretch3,1-Stretch,22.480,18.215,1.559,16.750
Stretch3,1-Stretch,22.680,18.255,1.599,17.248
Stretch3,1-Stretch,22.880,18.295,1.639,17.846
Stretch3,1-Stretch,23.080,18.335,1.679,17.946
Stretch3,1-Stretch,23.280,18.375,1.719,18.842
Stretch3,1-Stretch,23.480,18.415,1.759,19.340
Stretch3,1-Stretch,23.680,18.455,1.799,20.038
Stretch3,1-Stretch,23.880,18.495,1.839,20.536
Stretch3,1-Stretch,24.080,18.535,1.879,21.233
Stretch3,1-Stretch,24.280,18.575,1.919,21.731
Stretch3,1-Stretch,24.480,18.615,1.959,22.030
Stretch3,1-Stretch,24.680,18.655,1.999,22.628
Stretch3,1-Stretch,24.880,18.695,2.039,23.325
Stretch3,1-Stretch,25.080,18.735,2.079,23.824
Stretch3,1-Stretch,25.280,18.775,2.119,24.421
Stretch3,1-Stretch,25.480,18.816,2.16,25.019
Stretch3,1-Stretch,25.680,18.856,2.2,25.418
Stretch3,1-Stretch,25.880,18.895,2.239,26.015
Stretch3,1-Stretch,26.080,18.936,2.28,26.812
Stretch3,1-Stretch,26.280,18.976,2.32,27.510
Stretch3,1-Stretch,26.480,19.016,2.36,27.908
Stretch3,1-Stretch,26.680,19.056,2.4,28.805
Stretch3,1-Stretch,26.880,19.096,2.44,29.104
Stretch3,1-Stretch,27.080,19.136,2.48,29.801
Stretch3,1-Stretch,27.280,19.176,2.52,30.399
Stretch3,1-Stretch,27.480,19.216,2.56,30.997
Stretch3,1-Stretch,27.680,19.256,2.6,31.594
Stretch3,1-Stretch,27.880,19.296,2.64,32.591
Stretch3,1-Stretch,28.080,19.336,2.68,32.790
Stretch3,1-Stretch,28.280,19.376,2.72,33.388
Stretch3,1-Stretch,28.480,19.416,2.76,34.384
Stretch3,1-Stretch,28.680,19.456,2.8,34.882
Stretch3,1-Stretch,28.880,19.496,2.84,35.779
Stretch3,1-Stretch,29.080,19.536,2.88,36.476
Stretch3,1-Stretch,29.280,19.577,2.921,36.875
Stretch3,1-Stretch,29.480,19.617,2.961,37.871
Stretch3,1-Stretch,29.680,19.656,3,38.369
Stretch3,1-Stretch,29.880,19.697,3.041,39.365
Stretch3,1-Stretch,30.080,19.737,3.081,39.863
Stretch3,1-Stretch,30.280,19.777,3.121,40.860
Stretch3,1-Stretch,30.480,19.817,3.161,41.657
Stretch3,1-Stretch,30.680,19.857,3.201,42.354
Stretch3,1-Stretch,30.880,19.897,3.241,43.151
Stretch3,1-Stretch,31.080,19.937,3.281,43.450
Stretch3,1-Stretch,31.280,19.977,3.321,44.646
Stretch3,1-Stretch,31.480,20.017,3.361,45.443
Stretch3,1-Stretch,31.680,20.057,3.401,46.439
Stretch3,1-Stretch,31.880,20.097,3.441,47.236
Stretch3,1-Stretch,32.080,20.137,3.481,47.634
Stretch3,1-Stretch,32.280,20.177,3.521,49.029
Stretch3,1-Stretch,32.480,20.217,3.561,49.726
Stretch3,1-Stretch,32.680,20.257,3.601,50.922
Stretch3,1-Stretch,32.880,20.297,3.641,51.420
Stretch3,1-Stretch,33.080,20.338,3.682,52.416
Stretch3,1-Stretch,33.280,20.378,3.722,53.413
Stretch3,1-Stretch,33.480,20.417,3.761,54.210
Stretch3,1-Stretch,33.680,20.458,3.802,54.708
Stretch3,1-Stretch,33.880,20.498,3.842,56.202
Stretch3,1-Stretch,34.080,20.538,3.882,57.099
Stretch3,1-Stretch,34.280,20.578,3.922,58.294
Stretch3,1-Stretch,34.480,20.618,3.962,58.992
Stretch3,1-Stretch,34.680,20.658,4.002,60.088
Stretch3,1-Stretch,34.880,20.698,4.042,61.183
Stretch3,1-Stretch,35.080,20.738,4.082,61.881
Stretch3,1-Stretch,35.280,20.778,4.122,63.276
Stretch3,1-Stretch,35.480,20.818,4.162,63.973
Stretch3,1-Stretch,35.680,20.858,4.202,65.268
Stretch3,1-Stretch,35.880,20.898,4.242,65.766
Stretch3,1-Stretch,36.080,20.938,4.282,67.460
Stretch3,1-Stretch,36.280,20.978,4.322,68.556
Stretch3,1-Stretch,36.480,21.018,4.362,69.154
Stretch3,1-Stretch,36.680,21.058,4.402,70.748
Stretch3,1-Stretch,36.880,21.099,4.443,72.043
Stretch3,1-Stretch,37.080,21.138,4.482,72.740
Stretch3,1-Stretch,37.280,21.178,4.522,74.135
Stretch3,1-Stretch,37.480,21.219,4.563,75.231
Stretch3,1-Stretch,37.680,21.259,4.603,76.426
Stretch3,1-Stretch,37.880,21.299,4.643,77.622
Stretch3,1-Stretch,38.080,21.339,4.683,79.017
Stretch3,1-Stretch,38.280,21.379,4.723,80.112
Stretch3,1-Stretch,38.480,21.419,4.763,81.208
Stretch3,1-Stretch,38.680,21.459,4.803,82.603
Stretch3,1-Stretch,38.880,21.499,4.843,83.699
Stretch3,1-Stretch,39.080,21.539,4.883,84.895
Stretch3,1-Stretch,39.280,21.579,4.923,86.190
Stretch3,1-Stretch,39.480,21.619,4.963,87.485
Stretch3,1-Stretch,39.680,21.653,4.997,88.282
Stretch3,1-Recover,39.700,21.653,4.997,88.083
Stretch3,1-Recover,39.900,21.559,4.903,78.618
Stretch3,1-Recover,40.100,21.458,4.802,68.855
Stretch3,1-Recover,40.300,21.358,4.702,60.486
Stretch3,1-Recover,40.500,21.257,4.601,53.213
Stretch3,1-Recover,40.700,21.157,4.501,46.638
Stretch3,1-Recover,40.900,21.057,4.401,40.959
Stretch3,1-Recover,41.100,20.956,4.3,35.878
Stretch3,1-Recover,41.300,20.856,4.2,31.196
Stretch3,1-Recover,41.500,20.755,4.099,27.211
Stretch3,1-Recover,41.700,20.655,3.999,23.425
Stretch3,1-Recover,41.900,20.554,3.898,20.038
Stretch3,1-Recover,42.100,20.454,3.798,17.248
Stretch3,1-Recover,42.300,20.353,3.697,14.459
Stretch3,1-Recover,42.500,20.253,3.597,12.167
Stretch3,1-Recover,42.700,20.152,3.496,10.175
Stretch3,1-Recover,42.900,20.052,3.396,8.282
Stretch3,1-Recover,43.100,19.951,3.295,6.887
Stretch3,1-Recover,43.300,19.851,3.195,5.293
Stretch3,1-Recover,43.500,19.751,3.095,4.098
Stretch3,1-Recover,43.700,19.65,2.994,3.400
Stretch3,1-Recover,43.900,19.55,2.894,2.703
Stretch3,1-Recover,44.100,19.45,2.794,1.906
Stretch3,1-Recover,44.300,19.349,2.693,1.208
Stretch3,1-Recover,44.500,19.249,2.593,0.910
Stretch3,1-Recover,44.700,19.148,2.492,0.710
Stretch3,1-Recover,44.900,19.048,2.392,0.411
Stretch3,1-Recover,45.100,18.947,2.291,0.411
Stretch3,1-Recover,45.300,18.847,2.191,0.312
Stretch3,1-Recover,45.500,18.746,2.09,-0.186
Stretch3,1-Recover,45.700,18.646,1.99,-0.087
Stretch3,1-Recover,45.900,18.545,1.889,-0.087
Stretch3,1-Recover,46.100,18.445,1.789,-0.186
Stretch3,1-Recover,46.300,18.345,1.689,0.013
Stretch3,1-Recover,46.500,18.244,1.588,-0.286
Stretch3,1-Recover,46.700,18.144,1.488,-0.186
Stretch3,1-Recover,46.900,18.043,1.387,-0.087
Stretch3,1-Recover,47.100,17.943,1.287,-0.386
Stretch3,1-Recover,47.300,17.842,1.186,-0.087
Stretch3,1-Recover,47.500,17.742,1.086,-0.186
Stretch3,1-Recover,47.700,17.641,0.985,-0.286
Stretch3,1-Recover,47.900,17.541,0.885,0.013
Stretch3,1-Recover,48.100,17.441,0.785,-0.286
Stretch3,1-Recover,48.300,17.34,0.684,-0.186
Stretch3,1-Recover,48.500,17.24,0.584,-0.087
Stretch3,1-Recover,48.700,17.139,0.483,-0.386
Stretch3,1-Recover,48.900,17.039,0.383,-0.087
Stretch3,1-Recover,49.100,16.938,0.282,-0.087
Stretch3,1-Recover,49.300,16.838,0.182,-0.286
Stretch3,1-Recover,49.500,16.738,0.082,0.013
Stretch3,1-Recover,49.700,16.656,0,-0.386
Stretch3,2-Stretch,49.710,16.656,0,-0.286
Stretch3,2-Stretch,49.910,16.694,0.038,-0.186
Stretch3,2-Stretch,50.110,16.734,0.078,0.013
Stretch3,2-Stretch,50.310,16.775,0.119,-0.386
Stretch3,2-Stretch,50.510,16.814,0.158,-0.087
Stretch3,2-Stretch,50.710,16.854,0.198,-0.087
Stretch3,2-Stretch,50.910,16.895,0.239,-0.386
Stretch3,2-Stretch,51.110,16.935,0.279,-0.087
Stretch3,2-Stretch,51.310,16.975,0.319,-0.286
Stretch3,2-Stretch,51.510,17.015,0.359,-0.286
Stretch3,2-Stretch,51.710,17.055,0.399,0.013
Stretch3,2-Stretch,51.910,17.095,0.439,-0.386
Stretch3,2-Stretch,52.110,17.135,0.479,-0.087
Stretch3,2-Stretch,52.310,17.175,0.519,-0.087
Stretch3,2-Stretch,52.510,17.215,0.559,-0.386
Stretch3,2-Stretch,52.710,17.255,0.599,-0.087
Stretch3,2-Stretch,52.910,17.295,0.639,-0.186
Stretch3,2-Stretch,53.110,17.335,0.679,-0.286
Stretch3,2-Stretch,53.310,17.375,0.719,0.013
Stretch3,2-Stretch,53.510,17.415,0.759,-0.286
Stretch3,2-Stretch,53.710,17.456,0.8,-0.186
Stretch3,2-Stretch,53.910,17.495,0.839,0.113
Stretch3,2-Stretch,54.110,17.536,0.88,-0.186
Stretch3,2-Stretch,54.310,17.576,0.92,-0.087
Stretch3,2-Stretch,54.510,17.616,0.96,-0.186
Stretch3,2-Stretch,54.710,17.656,1,-0.087
Stretch3,2-Stretch,54.910,17.696,1.04,0.113
Stretch3,2-Stretch,55.110,17.736,1.08,-0.286
Stretch3,2-Stretch,55.310,17.776,1.12,-0.186
Stretch3,2-Stretch,55.510,17.816,1.16,0.113
Stretch3,2-Stretch,55.710,17.856,1.2,-0.087
Stretch3,2-Stretch,55.910,17.896,1.24,0.013
Stretch3,2-Stretch,56.110,17.936,1.28,-0.186
Stretch3,2-Stretch,56.310,17.976,1.32,0.013
Stretch3,2-Stretch,56.510,18.016,1.36,0.113
Stretch3,2-Stretch,56.710,18.056,1.4,-0.186
Stretch3,2-Stretch,56.910,18.097,1.441,0.013
Stretch3,2-Stretch,57.110,18.136,1.48,0.013
Stretch3,2-Stretch,57.310,18.176,1.52,0.113
Stretch3,2-Stretch,57.510,18.217,1.561,0.212
Stretch3,2-Stretch,57.710,18.257,1.601,-0.087
Stretch3,2-Stretch,57.910,18.297,1.641,0.312
Stretch3,2-Stretch,58.110,18.337,1.681,0.312
Stretch3,2-Stretch,58.310,18.377,1.721,0.312
Stretch3,2-Stretch,58.510,18.417,1.761,0.212
Stretch3,2-Stretch,58.710,18.457,1.801,0.212
Stretch3,2-Stretch,58.910,18.497,1.841,0.411
Stretch3,2-Stretch,59.110,18.537,1.881,0.411
Stretch3,2-Stretch,59.310,18.577,1.921,0.411
Stretch3,2-Stretch,59.510,18.617,1.961,0.411
Stretch3,2-Stretch,59.710,18.657,2.001,0.411
Stretch3,2-Stretch,59.910,18.697,2.041,0.411
Stretch3,2-Stretch,60.110,18.737,2.081,0.511
Stretch3,2-Stretch,60.310,18.777,2.121,0.411
Stretch3,2-Stretch,60.510,18.817,2.161,0.411
Stretch3,2-Stretch,60.710,18.858,2.202,0.810
Stretch3,2-Stretch,60.910,18.897,2.241,0.810
Stretch3,2-Stretch,61.110,18.937,2.281,1.208
Stretch3,2-Stretch,61.310,18.978,2.322,1.308
Stretch3,2-Stretch,61.510,19.018,2.362,1.208
Stretch3,2-Stretch,61.710,19.058,2.402,1.707
Stretch3,2-Stretch,61.910,19.098,2.442,1.707
Stretch3,2-Stretch,62.110,19.138,2.482,2.205
Stretch3,2-Stretch,62.310,19.178,2.522,2.404
Stretch3,2-Stretch,62.510,19.218,2.562,2.802
Stretch3,2-Stretch,62.710,19.258,2.602,3.400
Stretch3,2-Stretch,62.910,19.298,2.642,3.599
Stretch3,2-Stretch,63.110,19.338,2.682,3.599
Stretch3,2-Stretch,63.310,19.378,2.722,4.496
Stretch3,2-Stretch,63.510,19.418,2.762,4.994
Stretch3,2-Stretch,63.710,19.458,2.802,5.592
Stretch3,2-Stretch,63.910,19.498,2.842,6.090
Stretch3,2-Stretch,64.110,19.538,2.882,6.788
Stretch3,2-Stretch,64.310,19.578,2.922,7.086
Stretch3,2-Stretch,64.510,19.619,2.963,7.983
Stretch3,2-Stretch,64.710,19.659,3.003,8.581
Stretch3,2-Stretch,64.910,19.698,3.042,9.378
Stretch3,2-Stretch,65.110,19.739,3.083,10.075
Stretch3,2-Stretch,65.310,19.779,3.123,10.773
Stretch3,2-Stretch,65.510,19.819,3.163,11.570
Stretch3,2-Stretch,65.710,19.859,3.203,12.466
Stretch3,2-Stretch,65.910,19.899,3.243,13.164
Stretch3,2-Stretch,66.110,19.939,3.283,14.260
Stretch3,2-Stretch,66.310,19.979,3.323,14.758
Stretch3,2-Stretch,66.510,20.019,3.363,16.152
Stretch3,2-Stretch,66.710,20.059,3.403,16.949
Stretch3,2-Stretch,66.910,20.099,3.443,18.245
Stretch3,2-Stretch,67.110,20.139,3.483,18.842
Stretch3,2-Stretch,67.310,20.179,3.523,19.739
Stretch3,2-Stretch,67.510,20.219,3.563,21.233
Stretch3,2-Stretch,67.710,20.259,3.603,21.931
Stretch3,2-Stretch,67.910,20.3,3.644,23.226
Stretch3,2-Stretch,68.110,20.34,3.684,24.421
Stretch3,2-Stretch,68.310,20.379,3.723,25.717
Stretch3,2-Stretch,68.510,20.42,3.764,26.812
Stretch3,2-Stretch,68.710,20.46,3.804,28.008
Stretch3,2-Stretch,68.910,20.5,3.844,29.104
Stretch3,2-Stretch,69.110,20.54,3.884,30.797
Stretch3,2-Stretch,69.310,20.58,3.924,32.093
Stretch3,2-Stretch,69.510,20.62,3.964,33.288
Stretch3,2-Stretch,69.710,20.66,4.004,34.882
Stretch3,2-Stretch,69.910,20.7,4.044,36.377
Stretch3,2-Stretch,70.110,20.74,4.084,37.771
Stretch3,2-Stretch,70.310,20.78,4.124,39.365
Stretch3,2-Stretch,70.510,20.82,4.164,40.660
Stretch3,2-Stretch,70.710,20.86,4.204,42.454
Stretch3,2-Stretch,70.910,20.9,4.244,43.948
Stretch3,2-Stretch,71.110,20.94,4.284,45.642
Stretch3,2-Stretch,71.310,20.98,4.324,47.136
Stretch3,2-Stretch,71.510,21.02,4.364,48.830
Stretch3,2-Stretch,71.710,21.061,4.405,50.723
Stretch3,2-Stretch,71.910,21.101,4.445,52.416
Stretch3,2-Stretch,72.110,21.14,4.484,54.309
Stretch3,2-Stretch,72.310,21.181,4.525,55.804
Stretch3,2-Stretch,72.510,21.221,4.565,57.896
Stretch3,2-Stretch,72.710,21.261,4.605,59.390
Stretch3,2-Stretch,72.910,21.301,4.645,61.482
Stretch3,2-Stretch,73.110,21.341,4.685,63.276
Stretch3,2-Stretch,73.310,21.381,4.725,65.368
Stretch3,2-Stretch,73.510,21.421,4.765,67.061
Stretch3,2-Stretch,73.710,21.461,4.805,69.054
Stretch3,2-Stretch,73.910,21.501,4.845,70.648
Stretch3,2-Stretch,74.110,21.541,4.885,72.541
Stretch3,2-Stretch,74.310,21.581,4.925,74.035
Stretch3,2-Stretch,74.510,21.621,4.965,76.227
Stretch3,2-Stretch,74.710,21.653,4.997,77.423
Stretch3,2-Recover,74.720,21.653,4.997,77.423
Stretch3,2-Recover,74.920,21.561,4.905,68.655
Stretch3,2-Recover,75.120,21.46,4.804,59.490
Stretch3,2-Recover,75.320,21.36,4.704,51.918
Stretch3,2-Recover,75.520,21.259,4.603,45.144
Stretch3,2-Recover,75.720,21.159,4.503,39.266
Stretch3,2-Recover,75.920,21.058,4.402,33.986
Stretch3,2-Recover,76.120,20.958,4.302,29.403
Stretch3,2-Recover,76.320,20.857,4.201,25.318
Stretch3,2-Recover,76.520,20.757,4.101,21.831
Stretch3,2-Recover,76.720,20.656,4,18.643
Stretch3,2-Recover,76.920,20.556,3.9,15.754
Stretch3,2-Recover,77.120,20.456,3.8,13.263
Stretch3,2-Recover,77.320,20.355,3.699,10.972
Stretch3,2-Recover,77.520,20.255,3.599,9.079
Stretch3,2-Recover,77.720,20.154,3.498,7.186
Stretch3,2-Recover,77.920,20.054,3.398,5.692
Stretch3,2-Recover,78.120,19.953,3.297,4.297
Stretch3,2-Recover,78.320,19.853,3.197,3.500
Stretch3,2-Recover,78.520,19.752,3.096,2.703
Stretch3,2-Recover,78.720,19.652,2.996,1.906
Stretch3,2-Recover,78.920,19.552,2.896,1.607
Stretch3,2-Recover,79.120,19.451,2.795,1.009
Stretch3,2-Recover,79.320,19.351,2.695,0.611
Stretch3,2-Recover,79.520,19.25,2.594,0.411
Stretch3,2-Recover,79.720,19.15,2.494,0.212
Stretch3,2-Recover,79.920,19.049,2.393,0.113
Stretch3,2-Recover,80.120,18.949,2.293,-0.186
Stretch3,2-Recover,80.320,18.849,2.193,-0.286
Stretch3,2-Recover,80.520,18.748,2.092,0.013
Stretch3,2-Recover,80.720,18.648,1.992,-0.386
Stretch3,2-Recover,80.920,18.547,1.891,-0.087
Stretch3,2-Recover,81.120,18.447,1.791,-0.087
Stretch3,2-Recover,81.320,18.346,1.69,-0.386
Stretch3,2-Recover,81.520,18.246,1.59,-0.087
Stretch3,2-Recover,81.720,18.145,1.489,-0.186
Stretch3,2-Recover,81.920,18.045,1.389,-0.286
Stretch3,2-Recover,82.120,17.944,1.288,0.013
Stretch3,2-Recover,82.320,17.844,1.188,-0.386
Stretch3,2-Recover,82.520,17.744,1.088,-0.186
Stretch3,2-Recover,82.720,17.643,0.987,0.013
Stretch3,2-Recover,82.920,17.543,0.887,-0.286
Stretch3,2-Recover,83.120,17.442,0.786,-0.087
Stretch3,2-Recover,83.320,17.342,0.686,-0.186
Stretch3,2-Recover,83.520,17.242,0.586,-0.186
Stretch3,2-Recover,83.720,17.141,0.485,-0.087
Stretch3,2-Recover,83.920,17.041,0.385,-0.286
Stretch3,2-Recover,84.120,16.94,0.284,-0.286
Stretch3,2-Recover,84.320,16.84,0.184,-0.087
Stretch3,2-Recover,84.520,16.739,0.083,-0.087
Stretch3,2-Recover,84.720,16.656,0,-0.386
Stretch3,3-Stretch,84.730,16.656,0,-0.286
Stretch3,3-Stretch,84.930,16.694,0.038,-0.186
Stretch3,3-Stretch,85.130,16.734,0.078,-0.286
Stretch3,3-Stretch,85.330,16.774,0.118,-0.087
Stretch3,3-Stretch,85.530,16.814,0.158,-0.286
Stretch3,3-Stretch,85.730,16.854,0.198,-0.186
Stretch3,3-Stretch,85.930,16.894,0.238,0.013
Stretch3,3-Stretch,86.130,16.934,0.278,-0.186
Stretch3,3-Stretch,86.330,16.975,0.319,-0.186
Stretch3,3-Stretch,86.530,17.014,0.358,-0.186
Stretch3,3-Stretch,86.730,17.054,0.398,-0.286
Stretch3,3-Stretch,86.930,17.095,0.439,-0.087
Stretch3,3-Stretch,87.130,17.134,0.478,-0.386
Stretch3,3-Stretch,87.330,17.175,0.519,-0.186
Stretch3,3-Stretch,87.530,17.215,0.559,0.013
Stretch3,3-Stretch,87.730,17.255,0.599,-0.386
Stretch3,3-Stretch,87.930,17.295,0.639,-0.087
Stretch3,3-Stretch,88.130,17.335,0.679,-0.186
Stretch3,3-Stretch,88.330,17.375,0.719,-0.186
Stretch3,3-Stretch,88.530,17.415,0.759,0.013
Stretch3,3-Stretch,88.730,17.455,0.799,-0.386
Stretch3,3-Stretch,88.930,17.495,0.839,-0.186
Stretch3,3-Stretch,89.130,17.535,0.879,-0.087
Stretch3,3-Stretch,89.330,17.575,0.919,-0.386
Stretch3,3-Stretch,89.530,17.615,0.959,-0.087
Stretch3,3-Stretch,89.730,17.655,0.999,-0.087
Stretch3,3-Stretch,89.930,17.695,1.039,-0.186
Stretch3,3-Stretch,90.130,17.736,1.08,0.013
Stretch3,3-Stretch,90.330,17.775,1.119,-0.286
Stretch3,3-Stretch,90.530,17.815,1.159,-0.186
Stretch3,3-Stretch,90.730,17.856,1.2,0.013
Stretch3,3-Stretch,90.930,17.896,1.24,-0.386
Stretch3,3-Stretch,91.130,17.936,1.28,-0.087
Stretch3,3-Stretch,91.330,17.976,1.32,-0.186
Stretch3,3-Stretch,91.530,18.016,1.36,-0.286
Stretch3,3-Stretch,91.730,18.056,1.4,0.013
Stretch3,3-Stretch,91.930,18.096,1.44,-0.386
Stretch3,3-Stretch,92.130,18.136,1.48,-0.186
Stretch3,3-Stretch,92.330,18.176,1.52,0.013
Stretch3,3-Stretch,92.530,18.216,1.56,-0.286
Stretch3,3-Stretch,92.730,18.256,1.6,-0.087
Stretch3,3-Stretch,92.930,18.296,1.64,-0.186
Stretch3,3-Stretch,93.130,18.336,1.68,-0.286
Stretch3,3-Stretch,93.330,18.376,1.72,0.013
Stretch3,3-Stretch,93.530,18.417,1.761,-0.286
Stretch3,3-Stretch,93.730,18.456,1.8,-0.186
Stretch3,3-Stretch,93.930,18.497,1.841,0.013
Stretch3,3-Stretch,94.130,18.537,1.881,-0.386
Stretch3,3-Stretch,94.330,18.576,1.92,0.013
Stretch3,3-Stretch,94.530,18.617,1.961,-0.087
Stretch3,3-Stretch,94.730,18.657,2.001,-0.186
Stretch3,3-Stretch,94.930,18.696,2.04,0.013
Stretch3,3-Stretch,95.130,18.737,2.081,0.013
Stretch3,3-Stretch,95.330,18.777,2.121,0.013
Stretch3,3-Stretch,95.530,18.817,2.161,0.212
